line_id,log_text,label,raw_line,alert_tag,mode,prediction,correct,raw_generation,parse_fallback,inference_time_ms
1860,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,0,- 1133448791 2005.12.01 R22-M0-ND-C:J17-U01 2005-12-01-06.53.11.512681 R22-M0-ND-C:J17-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,-,few_shot,0,1," 0
Log",0,152.19075325012454
353,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.334,0,- 1119290966 2005.06.20 R16-M1-N6-C:J08-U01 2005-06-20-11.09.26.582302 R16-M1-N6-C:J08-U01 RAS KERNEL INFO generating core.334,-,few_shot,0,1,"Log entry: TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.334
Label: 0
Log",0,152.19075325012454
1333,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=139632470 double-hummer alignment exceptions,0,- 1125220160 2005.08.28 R73-M1-N8-C:J06-U01 2005-08-28-02.09.20.654913 R73-M1-N8-C:J06-U01 RAS KERNEL INFO 139632470 double-hummer alignment exceptions,-,few_shot,0,1,"139632470 double-hummer alignment exceptions
Label: 0
Log",0,152.19075325012454
905,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.18324,0,- 1121311518 2005.07.13 R32-M0-NC-C:J14-U11 2005-07-13-20.25.18.627085 R32-M0-NC-C:J14-U11 RAS KERNEL INFO generating core.18324,-,few_shot,0,1,"=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.18324
Label: 0
Log",0,152.19075325012454
1289,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=iar 003a92a0 dear 00b36898,0,- 1125083016 2005.08.26 R63-M1-NA-C:J03-U01 2005-08-26-12.03.36.439157 R63-M1-NA-C:J03-U01 RAS KERNEL INFO iar 003a92a0 dear 00b36898,-,few_shot,0,1,"98
Label: 0
Log",0,151.71777799969277
1273,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,0,- 1124738105 2005.08.22 R70-M1-N0-I:J18-U01 2005-08-22-12.15.05.947393 R70-M1-N0-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,-,few_shot,0,1," 0
Log",0,151.71777799969277
938,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.28011,0,- 1121313970 2005.07.13 R27-M0-N1-C:J05-U01 2005-07-13-21.06.10.081119 R27-M0-N1-C:J05-U01 RAS KERNEL INFO generating core.28011,-,few_shot,0,1,"=INFO CONTENT=generating core.28011
Label: 0
Log",0,151.71777799969277
1731,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=iar 00113898 dear 0fee9c4c,0,- 1131590881 2005.11.09 R63-M0-N4-C:J05-U11 2005-11-09-18.48.01.657230 R63-M0-N4-C:J05-U11 RAS KERNEL INFO iar 00113898 dear 0fee9c4c,-,few_shot,0,1,"9c4c
Label: 0
Log",0,151.71777799969277
65,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,- 1118081467 2005.06.06 R02-M1-N0-C:J12-U11 2005-06-06-11.11.07.787886 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,-,few_shot,0,1,": TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected
Label: 0
Log",0,152.02758500026903
1323,TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=iar 003a92a0 dear 0129a488,0,- 1125084580 2005.08.26 R67-M1-N1-C:J05-U11 2005-08-26-12.29.40.731213 R67-M1-N1-C:J05-U11 RAS KERNEL INFO iar 003a92a0 dear 0129a488,-,few_shot,0,1,"88
Label: 0
Log",0,152.02758500026903
